Time [s],Value,Parity Error,Framing Error
3.418445541666667,s,,
3.418532208333333,y,,
3.418618875000000,s,,
3.418705583333333,' ',,
3.418792250000000,c,,
3.418878916666667,p,,
3.418965625000000,u,,
3.419052291666667,s,,
3.419138958333333,e,,
3.419225666666667,t,,
3.419312333333334,\r,,
3.419399000000000,\n,,
3.419505375000000,[,,
3.419592041666667,' ',,
3.419678708333334,' ',,
3.419765416666666,' ',,
3.419852083333333,' ',,
3.419938791666667,0,,
3.420025458333333,.,,
3.420112125000000,0,,
3.420198833333334,0,,
3.420285500000000,0,,
3.420372166666667,0,,
3.420458875000000,0,,
3.420545541666667,0,,
3.420632208333333,],,
3.420718916666666,' ',,
3.420805583333333,I,,
3.420892250000000,n,,
3.420978958333333,i,,
3.421065625000000,t,,
3.421152291666667,i,,
3.421239000000000,a,,
3.421325666666667,l,,
3.421412333333333,i,,
3.421499041666667,z,,
3.421585708333333,i,,
3.421672375000000,n,,
3.421759083333333,g,,
3.421845750000000,' ',,
3.421932416666666,c,,
3.422019125000000,g,,
3.422105791666667,r,,
3.422192458333333,o,,
3.422279166666667,u,,
3.422365833333334,p,,
3.422452500000000,' ',,
3.422539208333333,s,,
3.422625875000000,u,,
3.422712541666667,b,,
3.422799250000000,s,,
3.422885916666667,y,,
3.422972583333333,s,,
3.423059291666667,' ',,
3.423145958333333,c,,
3.423232625000000,p,,
3.423319333333333,u,,
3.423406000000000,\r,,
3.423492666666667,\n,,
3.423598041666667,[,,
3.423684708333333,' ',,
3.423771375000000,' ',,
3.423858083333333,' ',,
3.423944750000000,' ',,
3.424031416666667,0,,
3.424118125000000,.,,
3.424204791666666,0,,
3.424291458333333,0,,
3.424378166666667,0,,
3.424464833333333,0,,
3.424551541666667,0,,
3.424638208333334,0,,
3.424724875000000,],,
3.424811583333333,' ',,
3.424898250000000,I,,
3.424984916666667,n,,
3.425071625000000,i,,
3.425158291666667,t,,
3.425244958333333,i,,
3.425331666666667,a,,
3.425418333333333,l,,
3.425505000000000,i,,
3.425591708333333,z,,
3.425678375000000,i,,
3.425765041666667,n,,
3.425851750000000,g,,
3.425938416666667,' ',,
3.426025083333333,c,,
3.426111791666667,g,,
3.426198458333333,r,,
3.426285125000000,o,,
3.426371833333334,u,,
3.426458500000000,p,,
3.426545166666667,' ',,
3.426631875000000,s,,
3.426718541666667,u,,
3.426805208333333,b,,
3.426891916666666,s,,
3.426978583333333,y,,
3.427065250000000,s,,
3.427151958333333,' ',,
3.427238625000000,c,,
3.427325291666667,p,,
3.427412000000000,u,,
3.427498666666667,a,,
3.427585333333333,c,,
3.427672041666667,c,,
3.427758708333333,t,,
3.427845375000000,\r,,
3.427932083333333,\n,,
3.428037416666667,[,,
3.428124083333334,' ',,
3.428210791666667,' ',,
3.428297458333333,' ',,
3.428384125000000,' ',,
3.428470833333333,0,,
3.428557500000000,.,,
3.428644166666666,0,,
3.428730875000000,0,,
3.428817541666667,0,,
3.428904208333333,0,,
3.428990916666667,0,,
3.429077583333333,0,,
3.429164291666666,],,
3.429250958333333,' ',,
3.429337625000000,L,,
3.429424333333333,i,,
3.429511000000000,n,,
3.429597666666667,u,,
3.429684375000000,x,,
3.429771041666667,' ',,
3.429857708333333,v,,
3.429944416666667,e,,
3.430031083333333,r,,
3.430117750000000,s,,
3.430204458333333,i,,
3.430291125000000,o,,
3.430377791666666,n,,
3.430464500000000,' ',,
3.430551166666667,3,,
3.430637833333333,.,,
3.430724541666667,1,,
3.430811208333334,8,,
3.430897875000000,.,,
3.430984583333333,0,,
3.431071250000000,-,,
3.431157916666667,t,,
3.431244625000000,r,,
